region,date,year,deaths,women,men,children,cause_of_death,location_description,location_coordinates,url
Mediterranean,"April 18, 2015",2015,750,NA,NA,NA,Drowning,"120 miles south of Lampedusa, 110 kilometers north of Libya (almost 70 miles)","35.030000000000, 14.677700000000",http://bit.ly/1Oa2qYi
Mediterranean,"April 17, 2015",2015,1,1,NA,NA,Fuel burns,Between Libya and Italy,"35.746500000000, 14.414100000000",NA
Central America,"April 17, 2015",2015,1,NA,1,NA,Train Accident,"Rincón de Romos, Aguascalientes, Mexico","26.213257000000, -100.156984000000",http://bit.ly/2d6gUxo
Horn of Africa,"April 16, 2015",2015,1,NA,NA,NA,Dehydration,"Between Hargeysa and Berbera, Somalia","9.915894000000, 44.647095000000",NA
Mediterranean,"April 16, 2015",2015,41,NA,41,NA,Drowning,Unspecified location between Libya and Italy,"34.885900000000, 14.414100000000",http://bbc.in/1FYdROo
Mediterranean,"April 16, 2015",2015,12,NA,NA,NA,Drowning,Unspecified location between Libya and Italy,"35.746500000000, 14.414100000000",http://bit.ly/1E7QmCi
US-Mexico Border,"April 15, 2015",2015,3,2,1,NA,Drowning,"Rio Grande near Nuevo Laredo, Tamaulipas, Mexico","27.469219000000, -99.549635600000",http://bit.ly/2bUSuFa
US-Mexico Border,"April 14, 2015",2015,1,NA,1,NA,Drowning,"Rio Bravo, Mexico","26.037909700000, -98.086004100000",http://bit.ly/1Q8W76t
Mediterranean,"April 13, 2015",2015,400,NA,NA,NA,Drowning,80 miles off the Libyan coasts,"36.173400000000, 17.572607000000",http://bit.ly/1H7aT96
Sub-Saharan Africa,"April 13, 2015",2015,1,NA,NA,NA,Unknown,"Zambesi River, Zimbabwe, at border with South Africa","-22.187675800000, 29.926538600000",NA
US-Mexico Border,"April 13, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"April 13, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Caribbean,"April 11, 2015",2015,3,1,2,NA,Drowning,off the coast of Bahamas,"25.144970606594, -77.698404023437",http://bit.ly/1zdmdQ4
Mediterranean,"April 10, 2015",2015,2,1,1,NA,Drowning,"Unspecified location off the coast of Kafr el-Sheikh, Egypt","31.106319800000, 30.941975100000",http://bit.ly/1FEvuCG
Mediterranean,"April 10, 2015",2015,1,NA,NA,NA,Unknown,Off the coast of Libya,"34.234500000000, 14.743700000000",http://reut.rs/1CAcI9w
Caribbean,"April 09, 2015",2015,40,6,11,NA,Drowning,"Borgne, west of Cap-Haitien, Haiti","19.801748400000, -72.286630900000","http://bit.ly/1Pu8tVV, http://www.bbc.com/news/world-latin-america-32243688"
Sub-Saharan Africa,"April 08, 2015",2015,4,NA,NA,NA,"Excessive Physical Abuse, Shot, Stabbed","Harare, Zimbabwe","-17.833191000000, 31.032288000000",NA
Mediterranean,"April 06, 2015",2015,11,NA,NA,NA,Drowning,"Aegean Sea Mugla Bozburun, Ye?ilova Gulf, Turkey, en route to Kos","37.466700000000, 26.966700000000",http://bit.ly/1c7Atzj
US-Mexico Border,"April 06, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Caribbean,"April 03, 2015",2015,1,NA,1,NA,Drowning,"Mona Island, Puerto Rico","18.087567800000, -67.929463900000",http://bit.ly/1Jngh7y
Sub-Saharan Africa,"April 02, 2015",2015,1,NA,NA,NA,Excessive Physical Abuse,"In the sea, on the way to Tanzania","-6.744507000000, 39.314697000000",NA
Sub-Saharan Africa,"April 02, 2015",2015,2,NA,NA,NA,Sickness and lack of access to medicines,"Maputo, Mozambique","-25.899597000000, 32.609314000000",NA
North Africa,"April 01, 2015",2015,1,NA,NA,NA,Dehydration,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"April 01, 2015",2015,1,NA,NA,NA,Sickness and lack of access to medicines,"Sahara Desert, between Agadez, Niger and Tripoli, Libya","19.075158000000, 8.024068000000",NA
North Africa,"April 01, 2015",2015,2,NA,NA,NA,Sickness and lack of access to medicines,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"April 01, 2015",2015,1,NA,NA,NA,Violence,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
Southeast Asia,"March 31, 2015",2015,130,NA,NA,NA,Drowning,"Bay of Bengal - departed from Myanmar, Rakhine State","13.498141000000, 89.487406000000",NA
Southeast Asia,"March 31, 2015",2015,243,NA,NA,NA,Mixed,NA,"11.139821600000, 107.976212600000",http://www.unhcr.org/554c6a746.html
US-Mexico Border,"March 31, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"March 29, 2015",2015,4,NA,NA,NA,"Starvation, Dehydration, Suffocation","In the Sahara Desert, Libya","28.949376800000, 17.285763500000",NA
Central America,"March 29, 2015",2015,1,NA,1,NA,Unknown,"100 meters from the road to Matehuala, Mexico","23.692761000000, -100.625276000000",http://bit.ly/1GJ1mFg
US-Mexico Border,"March 26, 2015",2015,1,NA,1,NA,Excessive Physical Abuse,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"March 26, 2015",2015,1,NA,1,NA,Violence,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Mediterranean,"March 19, 2015",2015,3,NA,NA,NA,Drowning,"Zarzis, Tunisa","33.504103500000, 11.088149400000",NA
US-Mexico Border,"March 17, 2015",2015,1,NA,1,NA,Drowning,"All American Canal, East of Highline Canal, Calexico CA","32.668484200000, -115.505436600000",NA
Mediterranean,"March 17, 2015",2015,8,NA,NA,NA,Drowning,"Bodrum, Turkey, en route to Kos","37.020073000000, 27.401316000000",NA
Central America,"March 17, 2015",2015,0,NA,NA,NA,Train Accident,"Tabasco state, Mexico","17.947712200000, -93.680033900000",http://bit.ly/1CqQVWX
Central America,"March 17, 2015",2015,6,NA,NA,NA,Train Accident,"Tabasco state, Mexico","17.947712200000, -93.680033900000",http://bit.ly/1CqQVWX
US-Mexico Border,"March 17, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"March 17, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"March 11, 2015",2015,12,NA,NA,1,Drowning,"Near Tan-Tan Beach, Gran Canaria","28.102399700000, -15.415593300000",http://bit.ly/1iNy6UW
US-Mexico Border,"March 11, 2015",2015,1,NA,NA,NA,Drowning,"Rio Grande near Guerrero, Coahuila, Mexico","28.335688400000, -100.391984000000",NA
Middle East,"March 10, 2015",2015,2,NA,2,NA,Hypothermia,"Uzgaç Village, Turkey","41.792270000000, 26.437847000000",http://bit.ly/1MEQNmg
Central America,"March 09, 2015",2015,1,NA,1,NA,Drowning,"in the Chacamax River in the municipality of Palenque, Chiapas, Mexico","17.498700000000, -91.980400000000","http://bit.ly/1bgCYyL, http://bit.ly/1I1ArDt"
Horn of Africa,"March 09, 2015",2015,42,NA,NA,NA,Drowning,"Unspecified location off the coast of Bi’r Ali in the southern Shabwah province, Yemen","14.024729400000, 48.345196200000",http://wapo.st/1ByPfqL
North Africa,"March 08, 2015",2015,4,NA,NA,NA,Drowning,Off the coast of Tan-Tan in the Maghreb country,"28.438040800000, -11.098737400000",http://bit.ly/18CGLod
US-Mexico Border,"March 06, 2015",2015,1,NA,1,NA,Drowning,"Rio Grande, near Miguel Alemán, Tamaulipas, Mexico","27.623664000000, -99.634314600000",http://bit.ly/1UdMMbs
US-Mexico Border,"March 06, 2015",2015,1,NA,1,NA,Drowning,"West Main Canal, Seeley, CA","32.746705400000, -115.667260100000",NA
Central America,"March 06, 2015",2015,1,NA,1,NA,Drowning,"Chacamax River, Chiapas, Mexico","17.480292000000, -91.720399000000",NA
US-Mexico Border,"March 06, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",http://bit.ly/2h1YRrz
North Africa,"March 04, 2015",2015,25,NA,NA,NA,Drowning,"Off the coast of Nuadibu, Mauritania","20.947648094934, -17.087038967578",http://www.apdha.org/media/informe-frontera-sur-2016-web.pdf
Central America,"March 04, 2015",2015,1,NA,1,NA,Unknown,"Camelinas 2309, Chapultepec Nte., 58260 Morelia, Mich., Mexico","19.682152000000, -101.169727000000","http://bit.ly/2kGsoFD, http://bit.ly/2kGizI3"
Mediterranean,"March 03, 2015",2015,50,NA,NA,NA,Drowning,Channel of Sicily,"36.031300000000, 13.359400000000","http://dailym.ai/1DAANlG, http://bit.ly/1Bp2SWy"
Caribbean,"March 03, 2015",2015,1,1,NA,NA,"Rape, Murdered","Woods near Palo Blanco Community, DR","18.786226600000, -71.646850300000","http://bit.ly/18ibczY, http://bit.ly/2lCIHog"
North Africa,"March 01, 2015",2015,3,NA,NA,NA,Harsh conditions,"Sahara Desert, between Agadez, Niger and Sabha, Libya","19.075158000000, 8.024068000000",NA
North Africa,"March 01, 2015",2015,1,NA,NA,NA,Murdered,"Tripoli, Libya","32.849232000000, 13.164800000000",NA
North Africa,"March 01, 2015",2015,2,NA,NA,NA,Murdered,"Tripoli, Libya","32.849232000000, 13.164800000000",NA
North Africa,"March 01, 2015",2015,2,NA,NA,NA,Sickness and lack of access to medicines,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"March 01, 2015",2015,2,NA,NA,NA,Violence,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
US-Mexico Border,"February 28, 2015",2015,6,1,4,NA,Drowning,Rio Grande,"29.711067900000, -101.569380500000",http://bit.ly/1IhfIel
North Africa,"February 28, 2015",2015,5,NA,NA,NA,Violence,"Tajoura, Libya","32.826788512878, 13.418913357422",NA
East Asia,"February 27, 2015",2015,15,NA,NA,NA,Drowning,Near Macau,"22.198745000000, 113.543873000000",http://bit.ly/1EU1C1c
Central America,"February 24, 2015",2015,1,NA,1,NA,Unknown,"La Cuchilla sector in municipality of Concepción Chiquirichapa, Quetzaltenango, Guatemala","14.633328000000, -92.133327000000",http://bit.ly/29EdzkC
US-Mexico Border,"February 23, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"February 21, 2015",2015,1,1,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"February 21, 2015",2015,1,1,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"February 18, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Europe,"February 14, 2015",2015,1,NA,1,NA,Violence,"Calais 'jungle', France","50.951300000000, 1.858690000000",http://bit.ly/1DPsGT2
Mediterranean,"February 09, 2015",2015,307,NA,NA,NA,Drowning,Between Libya and Lampedusa,"34.361600000000, 12.985800000000",http://bit.ly/198N7fX
Mediterranean,"February 08, 2015",2015,29,NA,29,NA,Hypothermia,Lampedusa,"34.379700000000, 12.810100000000",http://nyti.ms/1xTWpST
Mediterranean,"February 07, 2015",2015,9,NA,NA,NA,Drowning,"Marmaris, en route to Rhodes","34.579000000000, 12.436500000000",http://bit.ly/1zPaELI
US-Mexico Border,"February 06, 2015",2015,1,NA,1,NA,Drowning,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"February 06, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Horn of Africa,"February 02, 2015",2015,36,NA,NA,1,Drowning,"Bab El Mandeb, off Dhubab","12.942226400000, 43.412687700000",http://bit.ly/1CsYlbr
Horn of Africa,"February 02, 2015",2015,3,NA,NA,NA,Drowning,Arabian Sea,"1.006620563320, 47.813732500000",NA
Mediterranean,"January 30, 2015",2015,10,NA,NA,NA,Drowning,"Melilla,Spain (near town of Nador)","35.286196000000, -2.958992800000",http://dailym.ai/2ceW3TH
US-Mexico Border,"January 30, 2015",2015,1,NA,1,NA,Drowning,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Southeast Asia,"January 29, 2015",2015,57,NA,NA,NA,Drowning,Bay of Bengal,"17.615694452844, 93.010776906250",http://bit.ly/1CjdLim
Caribbean,"January 28, 2015",2015,1,1,NA,NA,Unknown,"Community of Copey, province of Montecristi, Dominican Republic","18.925100000000, -72.724700000000","http://bit.ly/1BzCgF1, http://bit.ly/2nN4RVR"
US-Mexico Border,"January 27, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"January 27, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"January 25, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
North Africa,"January 23, 2015",2015,1,NA,1,NA,Vehicle Accident,Unspecified location on the Libyan/Sudanese border,"20.779575500000, 24.152626100000",http://www.actionpal.org.uk/en/
Mediterranean,"January 22, 2015",2015,21,NA,21,NA,Drowning,"Off the coast of Mellieha, Malta","35.272947000000, -2.924594000000",http://bit.ly/2jTwUTF
Central America,"January 20, 2015",2015,1,NA,1,1,Vehicle Accident,"Highway out of Reforma, Tabasco, Mexico","17.875807000000, -93.151203000000",http://bit.ly/2aPiIHV
North Africa,"January 20, 2015",2015,12,NA,NA,NA,Vehicle Accident,"between Tarhuna and Tripoli, Libya","32.581556000000, 13.178704000000",http://bit.ly/1MRM1Yh
Central America,"January 19, 2015",2015,1,NA,1,NA,Murdered,"Near railway tracks, Villahermosa, Tabasco, Mexico","17.983326000000, -92.916667000000",http://bit.ly/2910OhK
Mediterranean,"January 18, 2015",2015,1,NA,NA,NA,Unknown,"Unspecified location between North Africa and Italy. Body brought to Reggio Calabria, Italy.","34.885900000000, 14.414100000000",http://bit.ly/1sURQdS
Central America,"January 17, 2015",2015,1,NA,1,NA,Murdered,"Gregorio Mendez, Tabasco, Mexico","18.056331000000, -93.084468000000",NA
Mediterranean,"January 16, 2015",2015,45,NA,NA,NA,Drowning,"Off the coast of Zliten, Libya","36.810331300000, 27.271263900000",http://bit.ly/1xsyut2
Southeast Asia,"January 14, 2015",2015,2,NA,NA,NA,"Exhaustion, Dehydration","Hua Sai district in Nakhon Si Thammarat province, Thailand","8.582298100000, 99.224920100000",http://bit.ly/1t5XppK
Southeast Asia,"January 11, 2015",2015,1,1,NA,NA,Shot,"Travelling between Phangnga to Songkhla, Thailand. Intercepted at a checkpoint in Hua Sai district in Nakhon Si Thammarat province.","7.250240600000, 100.338315500000","http://bit.ly/14OFc54, http://bit.ly/1C6ngh3, http://reut.rs/1DCZcGB"
US-Mexico Border,"January 10, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"January 09, 2015",2015,1,NA,NA,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Europe,"January 08, 2015",2015,1,NA,1,NA,Vehicle Accident,Unspecified location in Macedonia en route to Europe,"42.206507300000, 21.201434700000",http://www.actionpal.org.uk/en/
Sub-Saharan Africa,"January 07, 2015",2015,2,NA,NA,NA,Drowning,Limpopo River in Zimbabwe near border with South Africa,"-23.649944700000, 30.120909200000",http://bit.ly/1ArHapu
US-Mexico Border,"January 07, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Mediterranean,"January 04, 2015",2015,5,NA,NA,NA,Drowning,"80 km north of the Argelia Coast, Spain","35.908983000000, -1.592287000000",http://bit.ly/20GoXzL
US-Mexico Border,"January 04, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
US-Mexico Border,"January 04, 2015",2015,1,NA,1,NA,Unknown,Pima County jurisdiction,"31.621437300000, -111.930093400000",NA
Caribbean,"January 03, 2015",2015,1,0,1,NA,Drowning,"Unspecified location off the coast of Sand Quay Island, South Sound, Grand Cayman","19.269688100000, -81.392199200000","http://bit.ly/1AgisbN, http://bit.ly/1uEv2up, http://bit.ly/2lngiWU"
Europe,"January 03, 2015",2015,1,NA,1,NA,Hypothermia,Unspecified location in Greece en route to Northern Europe,"41.168911300000, 21.528735600000",http://www.actionpal.org.uk/en/
North Africa,"January 01, 2015",2015,26,NA,NA,NA,Harsh conditions,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
North Africa,"January 01, 2015",2015,1,NA,NA,NA,Murdered,"Al Qatrun, Libya","30.404114000000, 19.565918000000",NA
Southeast Asia,"January 01, 2015",2015,3,NA,1,NA,Shot,"Island off the coast of Phang Nga, the mainland province north of Phuket.","8.111574000000, 98.448911000000",http://bit.ly/14qimAe
Horn of Africa,"January 01, 2015",2015,1,NA,NA,NA,Shot,Ethiopian-Djibouti border,"13.149000000000, 44.850500000000",http://bit.ly/1AGmcRD
Horn of Africa,"January 01, 2015",2015,2,NA,NA,NA,Starvation,"Obock, Djibouti","11.964746500000, 43.288407100000",http://bit.ly/1AGmcRD
Horn of Africa,"January 01, 2015",2015,1,1,NA,NA,Unknown,"Taizz, Yemen","13.577588600000, 44.017798900000",NA
Horn of Africa,"January 01, 2015",2015,1,NA,1,NA,Unknown,"Lahj, Yemen","13.569700000000, 44.014600000000",NA
North Africa,"January 01, 2015",2015,1,NA,NA,NA,Violence,"Unspecified location, Libya","26.239989000000, 12.913084000000",NA
Caribbean,"December 31, 2014",2014,1,NA,1,NA,Drowning,International waters about 22 miles from Cuban territory.,"23.644500000000, -80.288100000000",http://hrld.us/1CdEdJM
Horn of Africa,"December 31, 2014",2014,24,NA,NA,NA,Drowning,"Off coast of Yemen, near al-Makha port","13.138300000000, 43.159800000000",http://reut.rs/1uapne0
Mediterranean,"December 31, 2014",2014,2,NA,NA,NA,Drowning,Greece to Italy,"39.977100000000, 19.050300000000",NA
Mediterranean,"December 31, 2014",2014,9,NA,NA,NA,Drowning,"Off town of Gümü?lük, near the city of Bodrum, Turkey","36.999300000000, 27.364180000000",http://bit.ly/1xAWSfK
Europe,"December 31, 2014",2014,1,NA,1,NA,Vehicle Accident,"M25 highway, United Kingdom (driving from Calais)","51.120800000000, 1.043700000000","http://bit.ly/1zTn3Of, http://bit.ly/1DxA7u2"
Southeast Asia,"December 31, 2014",2014,750,NA,NA,250,"Starvation, Violence, Dehydration","Vast majority going towards Thailand and Malaysia, others more south in the Indian Ocean","0.175781203951, 77.431640750000",http://bit.ly/1G6YUEZ
Mediterranean,"December 31, 2014",2014,17,1,15,1,Hyperthermia,"40 miles north of Tripoli, Libya in the Channel of Sicily.","34.161800000000, 13.073700000000",NA
Mediterranean,"December 31, 2014",2014,23,NA,NA,NA,Drowning,"20 miles (32 kilometers) off Cabo de Gata cape, Spain","36.399200000000, -2.384030000000",http://bit.ly/12VUMvt
North Africa,"December 31, 2014",2014,1,NA,NA,NA,Murdered,"Unspecified location, Libya","25.131133000000, 11.858396000000",NA
Mediterranean,"December 31, 2014",2014,5,NA,1,NA,Drowning,Unspecified location between North Africa and Italy,"34.813800000000, 13.710900000000",http://bit.ly/1xdZY9w
Mediterranean,"December 31, 2014",2014,30,NA,NA,NA,Unknown,Unspecified location between North Africa and Italy,"34.307100000000, 16.611300000000",NA
Mediterranean,"December 31, 2014",2014,9,NA,NA,3,Drowning,"off the coast of Tangier, Strait of Gibraltar","35.846800000000, -5.803530000000",http://yhoo.it/1AqncZM
Mediterranean,"December 30, 2014",2014,4,NA,NA,NA,Drowning,"Bodies recovered near Zarzia and Ben Gardane, Tunsia","33.482565000000, 11.109411000000",NA
Europe,"December 29, 2014",2014,1,NA,NA,NA,Vehicle Accident,On A16 highway near Calais direction Calais-Boulogne,"50.847600000000, 1.757810000000",http://bit.ly/1vbpsyD
Central America,"December 05, 2014",2014,41,4,12,NA,Mixed,Various locations in Mexico,"23.634500000000, -102.553000000000",NA
Europe,"November 28, 2014",2014,4,NA,4,NA,"Exposure, Harsh conditions","Bulgaria/Serbia border, near the village of Kireevo in south-western Bulgaria","43.787126100000, 22.372377400000",http://bit.ly/2gMuEPf
Mediterranean,"November 24, 2014",2014,12,NA,NA,NA,Drowning,Between Libya and Italy,"35.924600000000, 13.161600000000",NA
Mediterranean,"November 23, 2014",2014,6,NA,NA,NA,Drowning,Between Libya and Italy,"36.315100000000, 12.919900000000",NA
Europe,"November 19, 2014",2014,2,NA,NA,NA,Burned,"Dunkirk, Loon-Plague port","50.996600000000, 2.257400000000",http://dailym.ai/1r4Egyr
